English,standard bangla,garo,marma,chakma
You are very beautiful,তুমি খুব সুন্দর,,,তুই ভারী দোল
What is your name?,তোমার নাম কি?,,,ত নাঙান হি?
How are you?,তুমি কেমন আছো?,,,তুই হেজান আগজ
I am fine,আমি ভালো আছি,,,মুই গম আগং
Where do you live?,তুমি কোথায় থাকো,,,তুই হুদু থাছ
I am going to my uncle's house.,আমার মামার বাড়ি যাচ্ছি।,,,মুই মামু ঘরত যাঙত্তে
Have you eaten rice?,তুমি ভাত খেয়েছ?,,,তুই ভাত হিয়স
Where is your house?,তোমার বাসা কোথায়?,,,ত ঘরান হুদু
How is everyone at your house?,তোমার বাসায় সবাই কেমন আছে।?,,,তমা ঘরত বেক্কুন হেজান আগন
Come visit our house.,আমাদের বাড়িতে বেড়াতে এসো।,,,আমা ঘরত বেরেচ্ছি
When will you return home?,তুমি কখন বাড়ি ফিরবে,,,তুই হক্কে ঘরত ফিরিবে
I will return in a while.,কিছুক্ষণ পরে ফিরব,,,হাক্ষন পরে ফিরিম
Will you have tea?,তুমি চা খাবে?,,,তুই চা হেবে?
I eat rice.,আমি ভাত খাই।,,,মুই হাঙ
We eat.,আমরা খাই।,,,আমি হেই
You eat.,তুমি খাও।,,,তুই হা
You eat.,তোমরা খাও।,,,তুমি হো
I hate you.,আমি আপনাকে ঘৃণা করি,আঙা নাঙখ ,ঙা কোগো মুংরে,মুই তরে বিজ দেগঙ
I love you.,আমি তোমায় ভালোবাসি,আঙা নাঙখ নামি নিকঙা ,ঙা নাক্ কো ক্রতে,মুই তোরে হোস পাঙ
I am in love.,আমি প্রেমে পড়েছি,,চুই মা আখ্য রউরে,মুই প্রেমট পুজ্জং
I am sorry.,আমি দুঃখিত,আঙা ,ঙা গো খোয়ং হ্রুওয়ে,মুই দুঃখিত
I am very sorry.,আমি খুবই দুঃখিত,আঙখ খেমা খাবো ,ঙা গা খোয়ং হ্রুওয়ে,মুই খুব দুঃখিত
How are you?,আপনি কেমন আছেন,নামি দঙয়া মা ,আকং হিঃরিল?,তুই হেজান আগজ
I am fine.,আমি ভালো আছি,আঙা নাম্মা,ঙা আকং হিরি,মুই গম আগঙ
I miss you.,আমার আপনাকে মনে পরছে,নাঙখ আঙা গিসিক রাআমুঙ ,ঙা কোগো তোওড়ারেয়,মর তরে মনত পরের
That is very bad.,ওটা খুব খারাপ,ওয়াদে নাম্মিন নামজা ,য়াচা তিফিবাং ম্কং,উবন অনেক হারাপ
Get well soon.,শীঘ্রই সুস্থ হয়ে উঠুন,থারাকি নামবো,আয়াং কেন্থা আকং ফ্রপ থা,যাদি গম গজ
I can't stop.,আমি থামতে পারি না,আ্ঙা চাদে্ঙনা মানজা ,ঙা টেংহো ম্টে,মুই থামি নোয়ারং
I can't hear you.,আমি তোমাকে শুনতে পাচ্ছি না,আ্ঙা না্ঙখো খি্নাজা্ঙজক ,ঙা নাাং প্রচাগো ম্ক্রা,মুই তোরে শুনি নোপাঙ অর
You are late.,তুমি দেরী কোরেছো,না্দে হারুমু্্ঙজক ,নাং ক্রাফাব্যা,তুই দেরি গুচ্ছস
Who is that man?,ঐ লোকটি কে?,ওয়া্দে সা?,থো্চা আসুলেই,সিবি হোন্না
Who built that?,ঐটা কে নির্মাণ করেছিলো?,হিকো সা থারিয়া ?,ইচা আসু লুচা লেই?,সিবি হোন্না বানেয়ি
They hit.,তারা আঘাত করেছিল,বি'য়া দকামুঙ ,আসু বুড়েয় লে?,ওতারা মাজ্জন
She got angry.,সে রেগে গেল,বি'য়া খা্ওনা্ঙজক ,য়াসু মেং তাউব্যা,উবো রাগি জিয়ি
She is a teacher.,সে একজন শিক্ষিকা,বি'য়া সাকসা,য়াসুু ত্যঃ ছ্রামা/চাখ্যাসা মা,তে ইক্কু মিলি মাস্টর
Don't worry.,কোন চিন্তা করো না,চানচিয়ানি মামুঙ দঙজা ,নাং ওউই ম্ছাগ্যে,হনো চিদে নগুরিজ
I am very happy.,আমি অত্যন্ত খুশি,,ঙা আমা প্য় রেয়,মুই হুব হুজি
I can swim.,আমি সাঁতার কাটতে পারি,আ্ঙা বালজ্রুনা মা্ন্না,ঙা র্গু খেহো তেতি,মুই সাজুরি জানঙ
I can run.,আমি চালাতে সক্ষম,বি'য়া চালাইনা নাম্মিন মা্ন্না,ঙা সালে ন্হেং রেয়,মুই চালে পারিম
I can't come.,আমি আসতে পারব না,আ্ঙা রিবানা মানজানো ,ঙা ম্লেন্হেং/ ঙা লেহো ম্নংই,মুই এই নোপারিম
She was alone.,তিনি একা ছিলেন,বি'য়া সাকসান দঙআমুঙ ,য়াঃসু নুং খ্যাং হিঃরেলেয়,তে গাই এলো
She was brave.,তিনি সাহসী ছিল,,য়াসু ম্ক্র ম্লেং হিঃরেলেয়,তে সাহসী এলো
She likes swimming.,তিনি সাঁতার কাটতে পছন্দ করেন,বি'য়া বালজ্রুনা নাম্মিন সিন্নাহা ,য়াঃসু র্গু খেহো আমা সায়ারেয়,তে সাজুরদে গম পাই
Don't be angry.,রাগ করো না,খাও নাঙনা বে ,মেং ম্তাঃক্যে,রাগ নগুরিজ
Don't be sad.,দু: খিত হবেন না,,অউ ম্স্যুক্যে,দুকখো নগুরিজ
Can you come?,তুমি কি আসতে পারবে?,না্আ কি হিবানা মান্ও,নাং লেনহেং হোলঃ?,তুই এ পারিবি?
